State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
United States,2012,120489,5968240.0,20.18836373872364
Alabama,2012,433,72880.0,5.941273326015368
Alaska,2012,31,16260.0,1.9065190651906518
Arizona,2012,2179,116930.0,18.63508081758317
Arkansas,2012,179,29530.0,6.061632238401626
California,2012,32016,821780.0,38.95933218136241
Colorado,2012,2424,149020.0,16.266272983492147
Connecticut,2012,2109,78450.0,26.883365200764818
Delaware,2012,447,23440.0,19.06996587030717
District of Columbia,2012,106,63600.0,1.6666666666666667
Florida,2012,3600,248300.0,14.49859041482078
Georgia,2012,2122,148830.0,14.257878115971243
Hawaii,2012,117,20930.0,5.590062111801243
Idaho,2012,930,25260.0,36.81710213776722
Illinois,2012,4285,220170.0,19.462233728482538
Indiana,2012,1751,94620.0,18.50560135277954
Iowa,2012,860,50950.0,16.8792934249264
Kansas,2012,980,50930.0,19.242096995876693
Kentucky,2012,534,51830.0,10.302913370634768
Louisiana,2012,359,45920.0,7.817944250871079
Maine,2012,203,17910.0,11.334450027917365
Maryland,2012,1618,179550.0,9.011417432470063
Massachusetts,2012,5672,229160.0,24.75126549135975
Michigan,2012,4555,198610.0,22.934394038568048
Minnesota,2012,3919,131690.0,29.759283165008732
Mississippi,2012,150,23640.0,6.345177664974619
Missouri,2012,1043,109650.0,9.512083903328774
Montana,2012,127,15360.0,8.268229166666666
Nebraska,2012,286,34720.0,8.237327188940093
Nevada,2012,747,27000.0,27.666666666666664
New Hampshire,2012,736,28950.0,25.42314335060449
New Jersey,2012,4213,181480.0,23.214679303504518
New Mexico,2012,439,35310.0,12.4327386009629
New York,2012,7572,321480.0,23.55356476297126
North Carolina,2012,2984,167900.0,17.772483621203097
North Dakota,2012,97,13120.0,7.393292682926829
Ohio,2012,3396,,
Oklahoma,2012,466,50420.0,9.242364141213804
Oregon,2012,2073,75780.0,27.355502771179733
Pennsylvania,2012,3489,,
Rhode Island,2012,302,20180.0,14.965312190287413
South Carolina,2012,826,63170.0,13.075827133132815
South Dakota,2012,120,12000.0,10.0
Tennessee,2012,919,79830.0,11.511962921207566
Texas,2012,8303,493980.0,16.808372808615733
Utah,2012,1134,54720.0,20.723684210526315
Vermont,2012,492,12870.0,38.22843822843823
Virginia,2012,1698,274280.0,6.190753974041126
Washington,2012,5367,,
West Virginia,2012,133,19900.0,6.683417085427135
Wisconsin,2012,1805,103030.0,17.51916917402698
Wyoming,2012,103,8710.0,11.82548794489093
Puerto Rico,2012,37,21750.0,1.7011494252873562
United States,2013,133158,6139220.0,21.68972605640456
Alabama,2013,517,76650.0,6.744944553163731
Alaska,2013,51,15210.0,3.353057199211045
Arizona,2013,2208,123410.0,17.891580909164574
Arkansas,2013,165,30660.0,5.38160469667319
California,2013,36087,849510.0,42.479782462831515
Colorado,2013,2782,154020.0,18.062589274120246
Connecticut,2013,2188,78850.0,27.74889029803424
Delaware,2013,479,22030.0,21.74307762142533
District of Columbia,2013,127,65300.0,1.9448698315467075
Florida,2013,3881,250330.0,15.503535333359965
Georgia,2013,2482,160820.0,15.433403805496829
Hawaii,2013,121,21140.0,5.723746452223273
Idaho,2013,996,25850.0,38.52998065764023
Illinois,2013,4605,226850.0,20.299757549041217
Indiana,2013,1904,100870.0,18.875780707841777
Iowa,2013,944,52440.0,18.001525553012968
Kansas,2013,1015,51240.0,19.80874316939891
Kentucky,2013,559,53920.0,10.367210682492582
Louisiana,2013,394,46750.0,8.427807486631016
Maine,2013,227,18840.0,12.048832271762208
Maryland,2013,1739,186780.0,9.31041867437627
Massachusetts,2013,6421,227780.0,28.189481078233385
Michigan,2013,5059,207800.0,24.345524542829644
Minnesota,2013,4276,133580.0,32.01078005689474
Mississippi,2013,161,24320.0,6.620065789473684
Missouri,2013,1204,105730.0,11.387496453229925
Montana,2013,121,15570.0,7.771355170199101
Nebraska,2013,304,36480.0,8.333333333333334
Nevada,2013,839,26850.0,31.247672253258845
New Hampshire,2013,848,28460.0,29.796205200281097
New Jersey,2013,4690,184720.0,25.38977912516241
New Mexico,2013,456,34900.0,13.065902578796562
New York,2013,8397,333710.0,25.162566300080908
North Carolina,2013,3114,173960.0,17.90066681995861
North Dakota,2013,109,12520.0,8.706070287539935
Ohio,2013,3721,218030.0,17.066458744209513
Oklahoma,2013,553,51900.0,10.655105973025048
Oregon,2013,2179,79040.0,27.56831983805668
Pennsylvania,2013,3961,243850.0,16.24359237236006
Rhode Island,2013,306,20740.0,14.754098360655739
South Carolina,2013,855,65140.0,13.125575683143998
South Dakota,2013,149,12770.0,11.667971808927172
Tennessee,2013,1004,,
Texas,2013,9173,514400.0,17.832426127527217
Utah,2013,1239,57980.0,21.36943773715074
Vermont,2013,535,12920.0,41.408668730650156
Virginia,2013,1900,276230.0,6.8783260326539475
Washington,2013,5808,209710.0,27.695388870344765
West Virginia,2013,150,19490.0,7.6962544894817855
Wisconsin,2013,2024,106210.0,19.05658600885039
Wyoming,2013,101,,
Puerto Rico,2013,22,22790.0,0.9653356735410268
United States,2014,144048,6318580.0,22.797527292524585
Alabama,2014,498,74480.0,6.686358754027927
Alaska,2014,52,14920.0,3.4852546916890077
Arizona,2014,2493,127760.0,19.51314965560426
Arkansas,2014,210,32050.0,6.5522620904836195
California,2014,40505,880850.0,45.98399273429074
Colorado,2014,3125,160700.0,19.44617299315495
Connecticut,2014,2291,79000.0,29.0
Delaware,2014,466,22830.0,20.41173893999124
District of Columbia,2014,154,68820.0,2.2377215925603022
Florida,2014,4155,257450.0,16.13905612740338
Georgia,2014,2660,169940.0,15.652583264681653
Hawaii,2014,124,20900.0,5.9330143540669855
Idaho,2014,1022,26460.0,38.62433862433863
Illinois,2014,5139,235380.0,21.832781034922256
Indiana,2014,2083,104000.0,20.028846153846153
Iowa,2014,999,53440.0,18.693862275449103
Kansas,2014,946,50120.0,18.874700718276138
Kentucky,2014,649,54350.0,11.941122355105795
Louisiana,2014,425,49120.0,8.65228013029316
Maine,2014,200,19410.0,10.303967027305513
Maryland,2014,1850,190080.0,9.732744107744109
Massachusetts,2014,6737,230480.0,29.230301978479694
Michigan,2014,5270,219630.0,23.994900514501662
Minnesota,2014,4582,140190.0,32.684214280619166
Mississippi,2014,157,24860.0,6.315366049879324
Missouri,2014,1263,106980.0,11.805945036455412
Montana,2014,113,15540.0,7.271557271557271
Nebraska,2014,354,36220.0,9.7736057426836
Nevada,2014,818,26890.0,30.420230568984753
New Hampshire,2014,910,28320.0,32.132768361581924
New Jersey,2014,4955,188240.0,26.322779430514235
New Mexico,2014,436,36180.0,12.05085682697623
New York,2014,8755,348740.0,25.104662499283133
North Carolina,2014,3444,181030.0,19.024471082141083
North Dakota,2014,99,12970.0,7.632999228989977
Ohio,2014,3765,219830.0,17.126870763772008
Oklahoma,2014,576,52910.0,10.886410886410886
Oregon,2014,2401,80470.0,29.837206412327575
Pennsylvania,2014,4076,248750.0,16.38592964824121
Rhode Island,2014,350,21210.0,16.5016501650165
South Carolina,2014,927,67300.0,13.774145616641903
South Dakota,2014,129,13220.0,9.757942511346444
Tennessee,2014,1102,86680.0,12.713428703276419
Texas,2014,9922,541060.0,18.33807710789931
Utah,2014,1383,62810.0,22.018786817385767
Vermont,2014,553,13280.0,41.64156626506024
Virginia,2014,2108,272410.0,7.738335597077934
Washington,2014,6433,208630.0,30.834491683842206
West Virginia,2014,137,20110.0,6.812531079065142
Wisconsin,2014,2097,112540.0,18.63337480007109
Wyoming,2014,104,9050.0,11.491712707182321
Puerto Rico,2014,41,23320.0,1.7581475128644939
United States,2015,140517,6536860.0,21.49610057428184
Alabama,2015,486,73190.0,6.640251400464544
Alaska,2015,42,14970.0,2.80561122244489
Arizona,2015,2497,133650.0,18.68312757201646
Arkansas,2015,227,33350.0,6.806596701649175
California,2015,40087,,
Colorado,2015,2996,167400.0,17.897252090800478
Connecticut,2015,2175,79490.0,27.361932318530634
Delaware,2015,386,22750.0,16.967032967032967
District of Columbia,2015,130,69880.0,1.8603319977103605
Florida,2015,3973,271840.0,14.615214832254267
Georgia,2015,2448,,
Hawaii,2015,119,21060.0,5.650522317188984
Idaho,2015,876,28320.0,30.93220338983051
Illinois,2015,5027,245330.0,20.490767537602412
Indiana,2015,2062,104290.0,19.771790200402723
Iowa,2015,1002,52790.0,18.98086758855844
Kansas,2015,924,53660.0,17.21953037644428
Kentucky,2015,671,56190.0,11.941626623954441
Louisiana,2015,394,48440.0,8.133773740710156
Maine,2015,191,19960.0,9.569138276553106
Maryland,2015,1836,193810.0,9.473195397554306
Massachusetts,2015,6762,231640.0,29.191849421516146
Michigan,2015,5500,228140.0,24.108003857280618
Minnesota,2015,4350,143620.0,30.288260687926474
Mississippi,2015,134,25440.0,5.267295597484276
Missouri,2015,1097,110220.0,9.952821629468335
Montana,2015,139,16320.0,8.517156862745097
Nebraska,2015,317,37950.0,8.353096179183137
Nevada,2015,737,28200.0,26.134751773049647
New Hampshire,2015,849,29290.0,28.98600204848071
New Jersey,2015,4509,193440.0,23.30955334987593
New Mexico,2015,447,37510.0,11.916822180751799
New York,2015,8386,368920.0,22.731215439661717
North Carolina,2015,3398,187210.0,18.150739810907538
North Dakota,2015,118,12960.0,9.104938271604938
Ohio,2015,3579,233570.0,15.323029498651369
Oklahoma,2015,552,55170.0,10.005437737901033
Oregon,2015,2358,86350.0,27.307469600463232
Pennsylvania,2015,3846,255170.0,15.072304738017793
Rhode Island,2015,309,21550.0,14.33874709976798
South Carolina,2015,926,68380.0,13.541971336648142
South Dakota,2015,108,13870.0,7.7865897620764235
Tennessee,2015,1011,88820.0,11.382571492907003
Texas,2015,9851,563410.0,17.484602687208252
Utah,2015,1407,64670.0,21.75661048399567
Vermont,2015,446,13710.0,32.5309992706054
Virginia,2015,2121,270990.0,7.826857079597033
Washington,2015,6373,219130.0,29.083192625382196
West Virginia,2015,132,20490.0,6.44216691068814
Wisconsin,2015,2059,117720.0,17.490655793408088
Wyoming,2015,103,8980.0,11.469933184855233
Puerto Rico,2015,33,22930.0,1.439162668992586
United States,2016,143202,6746600.0,21.225802626508166
Alabama,2016,510,72480.0,7.036423841059603
Alaska,2016,57,14340.0,3.9748953974895396
Arizona,2016,2685,138560.0,19.377886836027713
Arkansas,2016,236,33180.0,7.112718505123569
California,2016,40693,932020.0,43.66108023432973
Colorado,2016,3048,175370.0,17.380395734732282
Connecticut,2016,2290,80330.0,28.507406946346318
Delaware,2016,340,24120.0,14.096185737976782
District of Columbia,2016,138,75520.0,1.8273305084745763
Florida,2016,4129,284030.0,14.537196774988558
Georgia,2016,2488,196370.0,12.669959769822276
Hawaii,2016,130,21760.0,5.974264705882352
Idaho,2016,764,29050.0,26.29948364888124
Illinois,2016,4946,260160.0,19.011377613776137
Indiana,2016,2067,106230.0,19.45778028805422
Iowa,2016,925,53580.0,17.263904441955955
Kansas,2016,835,57150.0,14.610673665791776
Kentucky,2016,706,55340.0,12.757499096494398
Louisiana,2016,445,46770.0,9.514646140688477
Maine,2016,174,20580.0,8.454810495626823
Maryland,2016,1871,199860.0,9.361553087161013
Massachusetts,2016,6940,242960.0,28.56437273625288
Michigan,2016,5769,238120.0,24.227280362842265
Minnesota,2016,4229,149360.0,28.314140332083557
Mississippi,2016,149,25280.0,5.893987341772152
Missouri,2016,1214,116670.0,10.405416988086055
Montana,2016,157,15840.0,9.91161616161616
Nebraska,2016,335,39780.0,8.421317244846657
Nevada,2016,768,29460.0,26.069246435845216
New Hampshire,2016,930,30400.0,30.592105263157897
New Jersey,2016,4278,204000.0,20.97058823529412
New Mexico,2016,489,38420.0,12.727745965642894
New York,2016,8709,378600.0,23.003169572107765
North Carolina,2016,3547,199300.0,17.797290516808832
North Dakota,2016,108,14020.0,7.703281027104137
Ohio,2016,3522,239800.0,14.68723936613845
Oklahoma,2016,521,54380.0,9.58072820890033
Oregon,2016,2801,89080.0,31.44364616075438
Pennsylvania,2016,3848,262280.0,14.67134360225713
Rhode Island,2016,337,22000.0,15.318181818181818
South Carolina,2016,1000,71190.0,14.046916701783958
South Dakota,2016,141,14160.0,9.957627118644067
Tennessee,2016,1071,90240.0,11.868351063829788
Texas,2016,10007,566230.0,17.6730303940095
Utah,2016,1328,68630.0,19.35013842342999
Vermont,2016,421,13390.0,31.44137415982076
Virginia,2016,2044,275350.0,7.423279462502269
Washington,2016,6638,227910.0,29.125532008248868
West Virginia,2016,101,20510.0,4.92442710872745
Wisconsin,2016,2165,124000.0,17.45967741935484
Wyoming,2016,104,8460.0,12.293144208037825
Puerto Rico,2016,46,24190.0,1.9016122364613477
United States,2017,150423,6889020.0,21.83518120139004
Alabama,2017,498,73410.0,6.78381691867593
Alaska,2017,55,14810.0,3.713706954760297
Arizona,2017,2770,140300.0,19.743406985032074
Arkansas,2017,262,35690.0,7.340991874474643
California,2017,41961,946680.0,44.32437571301813
Colorado,2017,3182,180660.0,17.61319605889516
Connecticut,2017,2488,82960.0,29.99035679845709
Delaware,2017,323,26470.0,12.202493388741972
District of Columbia,2017,177,76500.0,2.3137254901960786
Florida,2017,4343,293850.0,14.779649481027736
Georgia,2017,2607,200620.0,12.994716379224403
Hawaii,2017,115,21590.0,5.326540064844836
Idaho,2017,728,29250.0,24.888888888888886
Illinois,2017,5071,258920.0,19.58520006179515
Indiana,2017,2279,108850.0,20.937069361506662
Iowa,2017,1085,55050.0,19.709355131698455
Kansas,2017,781,58140.0,13.433092535259718
Kentucky,2017,745,57210.0,13.022198916273378
Louisiana,2017,464,45020.0,10.306530430919592
Maine,2017,211,20550.0,10.267639902676398
Maryland,2017,1949,201310.0,9.681585614226815
Massachusetts,2017,7368,246110.0,29.937832676445492
Michigan,2017,6342,248460.0,25.525235450374304
Minnesota,2017,4453,150210.0,29.64516343785367
Mississippi,2017,181,26050.0,6.948176583493282
Missouri,2017,1258,119440.0,10.532484929671801
Montana,2017,153,17070.0,8.963093145869946
Nebraska,2017,329,41890.0,7.853903079493912
Nevada,2017,752,31520.0,23.85786802030457
New Hampshire,2017,1025,32170.0,31.861983214174696
New Jersey,2017,4487,203270.0,22.07408865056329
New Mexico,2017,496,37020.0,13.398163155051323
New York,2017,9064,392570.0,23.08887586927172
North Carolina,2017,3704,207220.0,17.874722517131552
North Dakota,2017,121,14010.0,8.636688079942898
Ohio,2017,3758,249180.0,15.08146721245686
Oklahoma,2017,575,55460.0,10.367832672196178
Oregon,2017,2963,92790.0,31.93232029313504
Pennsylvania,2017,4215,267350.0,15.76585000935104
Rhode Island,2017,371,23010.0,16.123424598000867
South Carolina,2017,1069,72970.0,14.649856105248732
South Dakota,2017,137,14260.0,9.607293127629735
Tennessee,2017,1106,93320.0,11.851693099014144
Texas,2017,10458,567040.0,18.443143340857787
Utah,2017,1551,73320.0,21.153846153846153
Vermont,2017,413,13160.0,31.382978723404253
Virginia,2017,2204,282830.0,7.792666973093378
Washington,2017,7280,235070.0,30.96949844727103
West Virginia,2017,119,20830.0,5.7129140662506
Wisconsin,2017,2240,125610.0,17.83297508160178
Wyoming,2017,95,7960.0,11.93467336683417
Puerto Rico,2017,33,24610.0,1.3409183258837871
United States,2018,143805,7083690.0,20.300860144924467
Alabama,2018,480,,
Alaska,2018,43,14480.0,2.9696132596685083
Arizona,2018,2512,,
Arkansas,2018,341,35500.0,9.605633802816902
California,2018,39667,989560.0,40.085492542139946
Colorado,2018,2949,187050.0,15.765838011226943
Connecticut,2018,2757,84100.0,32.78240190249702
Delaware,2018,287,26120.0,10.987748851454823
District of Columbia,2018,197,74030.0,2.6610833445900313
Florida,2018,4069,304650.0,13.356310520269162
Georgia,2018,2622,210710.0,12.443642921550946
Hawaii,2018,113,21400.0,5.280373831775701
Idaho,2018,792,30230.0,26.199139927224614
Illinois,2018,4779,263930.0,18.10707384533778
Indiana,2018,2018,,
Iowa,2018,976,58180.0,16.775524235132348
Kansas,2018,745,57720.0,12.907137907137907
Kentucky,2018,679,59080.0,11.492890995260664
Louisiana,2018,426,46240.0,9.21280276816609
Maine,2018,212,21630.0,9.801202034211743
Maryland,2018,1783,206360.0,8.640240356658268
Massachusetts,2018,7104,249400.0,28.484362469927827
Michigan,2018,6403,253850.0,25.223557218830017
Minnesota,2018,4033,154630.0,26.08161417577443
Mississippi,2018,170,26270.0,6.471259992386753
Missouri,2018,1271,125620.0,10.117815634453112
Montana,2018,143,17830.0,8.02019068984857
Nebraska,2018,296,42200.0,7.0142180094786735
Nevada,2018,634,32690.0,19.394310186601405
New Hampshire,2018,913,34780.0,26.250718803910292
New Jersey,2018,3983,211240.0,18.85533042984283
New Mexico,2018,485,36630.0,13.24051324051324
New York,2018,8486,401580.0,21.13153045470392
North Carolina,2018,3532,213120.0,16.572822822822822
North Dakota,2018,124,14750.0,8.40677966101695
Ohio,2018,3888,251630.0,15.451257799149545
Oklahoma,2018,566,55920.0,10.121602288984263
Oregon,2018,2794,94630.0,29.52552044806087
Pennsylvania,2018,3935,,
Rhode Island,2018,358,23310.0,15.358215358215357
South Carolina,2018,1033,75750.0,13.636963696369637
South Dakota,2018,132,14790.0,8.924949290060852
Tennessee,2018,1097,96060.0,11.419945867166355
Texas,2018,10312,581440.0,17.735277930654924
Utah,2018,1502,,
Vermont,2018,367,12890.0,28.47168347556245
Virginia,2018,2363,289420.0,8.164605072213392
Washington,2018,6950,242680.0,28.638536344156915
West Virginia,2018,124,21770.0,5.695911805236563
Wisconsin,2018,2213,129060.0,17.147063381373002
Wyoming,2018,105,8440.0,12.440758293838863
Puerto Rico,2018,42,25040.0,1.6773162939297124
United States,2019,166433,7317290.0,22.745169318149205
Alabama,2019,571,81730.0,6.986418695705371
Alaska,2019,49,14550.0,3.3676975945017182
Arizona,2019,2840,146410.0,19.397582132368008
Arkansas,2019,507,36180.0,14.013266998341624
California,2019,46145,1023530.0,45.08416949185661
Colorado,2019,3394,194490.0,17.450768677052803
Connecticut,2019,3297,85950.0,38.35951134380454
Delaware,2019,288,24650.0,11.683569979716024
District of Columbia,2019,277,77110.0,3.592270781999741
Florida,2019,4627,317650.0,14.566346607901778
Georgia,2019,2878,219770.0,13.095508941165765
Hawaii,2019,127,22040.0,5.762250453720508
Idaho,2019,1009,31840.0,31.68969849246231
Illinois,2019,5631,270460.0,20.820084300820824
Indiana,2019,2331,118010.0,19.75256334208965
Iowa,2019,1198,61540.0,19.467013324666883
Kansas,2019,785,59290.0,13.240006746500253
Kentucky,2019,750,61030.0,12.289038177945274
Louisiana,2019,456,45540.0,10.013175230566535
Maine,2019,243,22180.0,10.955816050495942
Maryland,2019,2192,210700.0,10.40341718082582
Massachusetts,2019,8255,256800.0,32.14563862928349
Michigan,2019,7192,253380.0,28.38424500749862
Minnesota,2019,4397,155230.0,28.325710236423372
Mississippi,2019,201,28890.0,6.95742471443406
Missouri,2019,1577,129050.0,12.220069740410693
Montana,2019,180,18170.0,9.906439185470555
Nebraska,2019,402,43000.0,9.348837209302326
Nevada,2019,814,35180.0,23.13814667424673
New Hampshire,2019,1096,36280.0,30.209481808158767
New Jersey,2019,4488,212670.0,21.103117505995204
New Mexico,2019,533,37550.0,14.194407456724367
New York,2019,9525,408360.0,23.325007346459007
North Carolina,2019,3968,225140.0,17.62458914453229
North Dakota,2019,144,13990.0,10.293066476054324
Ohio,2019,4560,255870.0,17.82155000586235
Oklahoma,2019,607,60210.0,10.081381830260755
Oregon,2019,3224,97730.0,32.98884682287937
Pennsylvania,2019,4252,275350.0,15.442164517886328
Rhode Island,2019,392,24740.0,15.844785772029104
South Carolina,2019,1190,79510.0,14.966670859011446
South Dakota,2019,144,15330.0,9.393346379647749
Tennessee,2019,1170,98650.0,11.860111505321845
Texas,2019,12302,610010.0,20.166882510122786
Utah,2019,1780,84710.0,21.012867430055483
Vermont,2019,371,12560.0,29.538216560509554
Virginia,2019,2748,298440.0,9.207880981101729
Washington,2019,8572,257820.0,33.24800248235203
West Virginia,2019,128,22720.0,5.633802816901409
Wisconsin,2019,2460,136260.0,18.053720827829153
Wyoming,2019,115,9010.0,12.763596004439512
Puerto Rico,2019,47,26410.0,1.7796289284361986
United States,2020,164125,7311810.0,22.446562479057853
Alabama,2020,542,85650.0,6.328079392877992
Alaska,2020,62,13920.0,4.454022988505747
Arizona,2020,2841,154090.0,18.437276916088
Arkansas,2020,454,36200.0,12.541436464088397
California,2020,45927,1013810.0,45.30138783401229
Colorado,2020,3397,200900.0,16.908909905425585
Connecticut,2020,3256,86450.0,37.663389242336606
Delaware,2020,326,23230.0,14.033577270770556
District of Columbia,2020,293,77310.0,3.7899366188073986
Florida,2020,4588,324480.0,14.139546351084814
Georgia,2020,2912,220250.0,13.221339387060159
Hawaii,2020,134,21990.0,6.093678944974989
Idaho,2020,1172,31220.0,37.54003843689942
Illinois,2020,5417,265230.0,20.42378313162161
Indiana,2020,2242,119000.0,18.840336134453782
Iowa,2020,1153,60580.0,19.03268405414328
Kansas,2020,771,62580.0,12.320230105465004
Kentucky,2020,790,60640.0,13.027704485488126
Louisiana,2020,444,44360.0,10.009017132551849
Maine,2020,212,22010.0,9.63198546115402
Maryland,2020,2252,209780.0,10.735055772714272
Massachusetts,2020,8057,251720.0,32.007786429365964
Michigan,2020,6456,236860.0,27.256607278561177
Minnesota,2020,4304,154570.0,27.844989325224816
Mississippi,2020,178,29000.0,6.137931034482759
Missouri,2020,1505,125040.0,12.036148432501598
Montana,2020,150,17990.0,8.337965536409117
Nebraska,2020,380,43280.0,8.78003696857671
Nevada,2020,884,34440.0,25.667828106852497
New Hampshire,2020,1041,35880.0,29.013377926421406
New Jersey,2020,4410,206520.0,21.35386403253922
New Mexico,2020,464,38970.0,11.906594816525532
New York,2020,9296,395200.0,23.522267206477732
North Carolina,2020,3686,230130.0,16.017033850432362
North Dakota,2020,126,12690.0,9.929078014184398
Ohio,2020,4534,248080.0,18.27636246372138
Oklahoma,2020,647,57210.0,11.30921167628037
Oregon,2020,3157,96930.0,32.56989580109357
Pennsylvania,2020,4326,270350.0,16.001479563528758
Rhode Island,2020,395,24090.0,16.39684516396845
South Carolina,2020,1203,78680.0,15.28978139298424
South Dakota,2020,148,15640.0,9.462915601023019
Tennessee,2020,1219,104680.0,11.645013374092471
Texas,2020,12138,620130.0,19.57331527260413
Utah,2020,1705,85440.0,19.955524344569287
Vermont,2020,354,12540.0,28.229665071770334
Virginia,2020,2851,300900.0,9.474908607510802
Washington,2020,8570,283420.0,30.23780961117776
West Virginia,2020,119,23090.0,5.153746210480727
Wisconsin,2020,2443,135900.0,17.976453274466518
Wyoming,2020,133,8780.0,15.148063781321184
Puerto Rico,2020,52,25830.0,2.013162988772745
